congressional_unit_id,associated_province,province_congressional_unit_number,representatives_count,districts
22,TP. Hải Phòng,2,3,"Quận Ngô Quyền, Quận Hải An, Quận Đồ Sơn, Huyện An Dương, Huyện Kiến Thụy"
23,TP. Hải Phòng,3,3,"Quận Kiến An, Dương Kinh, Huyện An Lão, Huyện Tiên Lãng, Huyện Vĩnh Bảo"
24,TP. Đà Nẵng,1,3,"Quận Hải Châu,Quận Thanh Khê,Quận Liên Chiểu"
25,TP. Đà Nẵng,2,3,"Quận Sơn Trà,Quận Ngũ Hành Sơn,Quận Cẩm Lệ,Huyện Hoà Vang,Huyện Hoàng Sa"
26,TP. Cần Thơ,1,3,"Quận Ninh Kiều, Quận Cái Răng, Huyện Phong Điền"
27,TP. Cần Thơ,2,2,"Quận Bình Thủy, Quận Ô Môn, Huyện Thới Lai"
28,TP. Cần Thơ,3,2,"Quận Thốt Nốt, Huyện Vĩnh Thạnh, Huyện Cờ Đỏ"
29,Tỉnh An Giang,1,3,"Thành phố Long Xuyên, Huyện Thoại Sơn, Huyện Châu Thành"
30,Tỉnh An Giang,2,3,"Thị xã Tân Châu, Huyện Chợ Mới, Huyện Phú Tân"
31,Tỉnh An Giang,3,3,"Thành phố Châu Đốc, Huyện An Phú, Huyện Tịnh Biên, Huyện Tri Tôn, Huyên Châu Phú"
32,Tỉnh Bà Rịa - Vũng Tàu,1,3,"Thành phố Vũng Tàu, Huyện Long Điền, Huyện Đất Đỏ, Huyện Côn Đảo"
33,Tỉnh Bà Rịa - Vũng Tàu,2,3,"Thành phố Bà Rịa, Thị xã Phú Mỹ, Huyện Châu Đức, Huyện Xuyên Mộc"
34,Tỉnh Bạc Liêu,1,3,"Thành phố Bạc Liêu, Huyện Vĩnh Lợi, Huyện Hòa Bình"
35,Tỉnh Bạc Liêu,2,3,"Thị xã Giá Rai, Huyện Phước Long, Huyện Hồng Dân, Huyện Đông Hải"
36,Tỉnh Bắc Kạn,3,3,"Huyện Ba Bể, Huyện Ngân Sơn, Huyện Na Rì, Huyện Pác Nặm"
37,Tỉnh Bắc Kạn,5,3,"Thành phố Bắc Kạn, Huyện Bạch Thông, Huyện Chợ Đồn, Huyện Chợ Mới"
38,Tỉnh Bắc Giang,1,3,"Huyện Sơn Động, Huyện Lục Ngạn, Huyện Lục Nam"
39,Tỉnh Bắc Giang,2,3,"Thành phố Bắc Giang, Huyện Yên Thế, Huyện Lạng Giang, Huyên Yên Dũng"
40,Tỉnh Bắc Giang,3,3,"Huyện Tân Yên, Huyện Hiệp Hòa, Huyện Việt Yên"
41,Tỉnh Bắc Ninh,1,2,"Thành phố Bắc Ninh, Huyện Quế Võ"
42,Tỉnh Bắc Ninh,2,3,"Thị xã Từ Sơn, Huyện Tiên Du, Huyện Yên Phong"
43,Tỉnh Bắc Ninh,3,2,"Huyện Lương Tài, Huyện Gia Bình, Huyện Thuận Thành"
44,Tỉnh Bến Tre,1,2,"Thành phố Bến Tre, Huyện Châu Thành, Huyện Bình Đại"
45,Tỉnh Bến Tre,2,2,"Huyện Giồng Trôm, Huyện Ba Trì"
46,Tỉnh Bến Tre,3,3,"Huyện Thạnh Phú, Huyện Chợ Lách, Huyện Mò Cày Nam, Huyện Mò Cày Bắc"
47,Tỉnh Bình Dương,1,3,"Thành phố Thủ Dầu Một, Thị xã Tân Uyên"
48,Tỉnh Bình Dương,2,2,Thành phố Dĩ An
49,Tỉnh Bình Dương,3,3,Thành phố Thuận An
50,Tỉnh Bình Dương,4,3,"Thị xã Bến Cát, Huyện Dầu Tiếng, Huyện Bàu Bàng, Huyện Phú Giáo, Huyện Bắc Tân Uyên"
51,Tỉnh Bình Định,1,3,"Thành phố Quy Nhơn, Huyện Tuy Phước, Huyện Vân Canh, Huyện Tây Sơn, Huyện Vĩnh Thạnh"
52,Tỉnh Bình Định,2,2,"Thị xã An Nhơn, Huyện Phù Cá, Huyện Hòa Ân"
53,Tỉnh Bình Định,3,2,"Thị xã Hoài Nhơn, Huyện An Lão, Huyện Phù Mỹ"
54,Tỉnh Bình Phước,1,3,"Thị xã Bình Long, Huyện Bù Đốp, Huyện Bù Gia Mập, Huyện Chơn Thành, Huyện Hớn Quản, Huyện Lộc Ninh"
55,Tỉnh Bình Phước,2,3,"Thành phố Đồng Xoài, thị xã Phước Long, Huyện Đồng Phú, Huyện Phú Riềng, Huyện Bù Đăng"
56,Tỉnh Bình Thuận,1,2,"Huyện Tuy Phong, Huyện Bắc Bình, Huyện Phú Quý"
57,Tỉnh Bình Thuận,2,3,"Thành phố Than Thiết, Huyện Hàm Thuận Bắc, Huyện Hàm Thuận Nam, Huyện Hàm Tân"
58,Tỉnh Bình Thuận,3,2,"Thị xã La Gi, Huyện Đức Linh, Huyện Tánh Linh"
59,Tỉnh Cà Mau,1,3,"Thành phố Cà Mau, Huyện Thới Bình, Huyện U Minh"
60,Tỉnh Cà Mau,2,2,"Huyện Cái Nước, Huyện Phú Tân, Huyện Trần Văn Thời"
61,Tỉnh Cà Mau,3,2,"Huyện Đầm Dơi, Huyện Năm Căn, Huyện Ngọc Hiền"
62,Tỉnh Cao Bằng,1,3,"Huyện Bảo Lạc, Huyện Bảo Lâm, Huyện Nguyên Bình, Huyện Hà Quảng, Huyện Hòa An"
63,Tỉnh Cao Bằng,2,3,"Thành phố Cao Bằng, Huyện Quảng Hòa, Huyện Trùng Khánh, Huyện Hạ Lang, Huyện Thạch An"
64,Tỉnh Đắk Lắk,1,3,"Thành phố Buôm Ma Thuột, Huyện Buôn Đôn, Huyện Ea Súp, Huyện Cư M'Gar"
65,Tỉnh Đắk Lắk,2,3,"Huyện Krông Bông, Huyện Krông Pắc, Huyện Lắk, Huyện M'Drắk, Huyện Cư Kuin, Huyện Krông Ana"
